
GROUP INFORMATION
-----------------

Group Name                                                    Type             SID                                                Attributes                                                     
============================================================= ================ ================================================== ===============================================================
Everyone                                                      Well-known group S-1-1-0                                            Mandatory group, Enabled by default, Enabled group             
REDMOND\DOMINO DISTRIBUTED CACHE READERS                      Group            S-1-5-21-2127521184-1604012920-1887927527-14761941 Mandatory group, Enabled by default, Enabled group             
REDMOND\bapiorgfteps                                          Group            S-1-5-21-2127521184-1604012920-1887927527-19973774 Mandatory group, Enabled by default, Enabled group             
REDMOND\NGODBSC                                               Group            S-1-5-21-2127521184-1604012920-1887927527-17886663 Mandatory group, Enabled by default, Enabled group             
REDMOND\MSElitePilot                                          Group            S-1-5-21-2127521184-1604012920-1887927527-20754852 Mandatory group, Enabled by default, Enabled group             
REDMOND\sreoireaders                                          Group            S-1-5-21-2127521184-1604012920-1887927527-18420005 Mandatory group, Enabled by default, Enabled group             
REDMOND\casdynreaders                                         Group            S-1-5-21-2127521184-1604012920-1887927527-20074220 Mandatory group, Enabled by default, Enabled group             
REDMOND\b360users                                             Group            S-1-5-21-2127521184-1604012920-1887927527-23205078 Mandatory group, Enabled by default, Enabled group             
REDMOND\CE_RW                                                 Group            S-1-5-21-2127521184-1604012920-1887927527-15185259 Mandatory group, Enabled by default, Enabled group             
REDMOND\LENSEXPLORER-REPORTS21-DASHBOARDADMIN                 Group            S-1-5-21-2127521184-1604012920-1887927527-16769879 Mandatory group, Enabled by default, Enabled group             
REDMOND\msskurdr                                              Group            S-1-5-21-2127521184-1604012920-1887927527-21375712 Mandatory group, Enabled by default, Enabled group             
REDMOND\OFFICE2016USERS3                                      Group            S-1-5-21-2127521184-1604012920-1887927527-22006987 Mandatory group, Enabled by default, Enabled group             
REDMOND\OFFICEOLK_SUPTICKETFEATURE                            Group            S-1-5-21-2127521184-1604012920-1887927527-21503632 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-O365-DITAR-READ                    Group            S-1-5-21-2127521184-1604012920-1887927527-23399318 Mandatory group, Enabled by default, Enabled group             
REDMOND\BAPIAppPlatFTE                                        Group            S-1-5-21-2127521184-1604012920-1887927527-19973686 Mandatory group, Enabled by default, Enabled group             
REDMOND\VS CAMPAIGN INFO ACCESS                               Group            S-1-5-21-2127521184-1604012920-1887927527-22342081 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-CUSTOMERSERVICE-CSSSERVICES-READ              Group            S-1-5-21-2127521184-1604012920-1887927527-23356403 Mandatory group, Enabled by default, Enabled group             
REDMOND\ANTARES LOCKBOX OPERATORS                             Group            S-1-5-21-2127521184-1604012920-1887927527-9489769  Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-PREMIER SCREENING SUPPORT-READ                Group            S-1-5-21-2127521184-1604012920-1887927527-25976361 Mandatory group, Enabled by default, Enabled group             
REDMOND\WW SAB REPORTING                                      Group            S-1-5-21-2127521184-1604012920-1887927527-13974174 Mandatory group, Enabled by default, Enabled group             
REDMOND\BAPIAppPlatEng                                        Group            S-1-5-21-2127521184-1604012920-1887927527-19973687 Mandatory group, Enabled by default, Enabled group             
REDMOND\OSG-RAZACL                                            Group            S-1-5-21-2127521184-1604012920-1887927527-14352704 Mandatory group, Enabled by default, Enabled group             
REDMOND\cpuse4                                                Group            S-1-5-21-2127521184-1604012920-1887927527-3665415  Mandatory group, Enabled by default, Enabled group             
REDMOND\ELITE_TARGET1_USERS                                   Group            S-1-5-21-2127521184-1604012920-1887927527-15241616 Mandatory group, Enabled by default, Enabled group             
REDMOND\RDFE MDS READ ONLY                                    Group            S-1-5-21-2127521184-1604012920-1887927527-15605510 Mandatory group, Enabled by default, Enabled group             
REDMOND\MSITNGODBUser20                                       Group            S-1-5-21-2127521184-1604012920-1887927527-18629679 Mandatory group, Enabled by default, Enabled group             
REDMOND\AppPlatWeb                                            Group            S-1-5-21-2127521184-1604012920-1887927527-14553410 Mandatory group, Enabled by default, Enabled group             
REDMOND\mbd2read                                              Group            S-1-5-21-2127521184-1604012920-1887927527-12069678 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-REVOLUTION-R-ENTERPRISE-AUTH                  Group            S-1-5-21-2127521184-1604012920-1887927527-23373631 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-MISC-READ                                     Group            S-1-5-21-2127521184-1604012920-1887927527-23544466 Mandatory group, Enabled by default, Enabled group             
REDMOND\ESIT BI All Microsoft Users                           Group            S-1-5-21-2127521184-1604012920-1887927527-8084865  Mandatory group, Enabled by default, Enabled group             
REDMOND\WP_Sign                                               Group            S-1-5-21-2127521184-1604012920-1887927527-8170216  Mandatory group, Enabled by default, Enabled group             
REDMOND\CMR_DB_ALL_MICROSOFT                                  Group            S-1-5-21-2127521184-1604012920-1887927527-23652482 Mandatory group, Enabled by default, Enabled group             
REDMOND\AppPlatRed                                            Group            S-1-5-21-2127521184-1604012920-1887927527-14553392 Mandatory group, Enabled by default, Enabled group             
REDMOND\ISRM-SPExt-Visitors                                   Group            S-1-5-21-2127521184-1604012920-1887927527-14779672 Mandatory group, Enabled by default, Enabled group             
REDMOND\CLP PARTNERS BUILD ACCESS                             Group            S-1-5-21-2127521184-1604012920-1887927527-18996935 Mandatory group, Enabled by default, Enabled group             
REDMOND\AppPlatFTE                                            Group            S-1-5-21-2127521184-1604012920-1887927527-14553347 Mandatory group, Enabled by default, Enabled group             
REDMOND\KASMDSPRODAUDITRO                                     Group            S-1-5-21-2127521184-1604012920-1887927527-15593370 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-O365-EXO-READ                      Group            S-1-5-21-2127521184-1604012920-1887927527-23399351 Mandatory group, Enabled by default, Enabled group             
REDMOND\AZURE WEBSITES SUPPORT MDS TEST                       Group            S-1-5-21-2127521184-1604012920-1887927527-16029721 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-WINDOWS-READ                       Group            S-1-5-21-2127521184-1604012920-1887927527-23356295 Mandatory group, Enabled by default, Enabled group             
REDMOND\O16Scheduledtaskprod                                  Group            S-1-5-21-2127521184-1604012920-1887927527-20754575 Mandatory group, Enabled by default, Enabled group             
REDMOND\belkauser                                             Group            S-1-5-21-2127521184-1604012920-1887927527-19290197 Mandatory group, Enabled by default, Enabled group             
REDMOND\ISRM-EBCMTeam-Visit                                   Group            S-1-5-21-2127521184-1604012920-1887927527-14530215 Mandatory group, Enabled by default, Enabled group             
REDMOND\github-users                                          Group            S-1-5-21-2127521184-1604012920-1887927527-16391845 Mandatory group, Enabled by default, Enabled group             
REDMOND\bapiorgall                                            Group            S-1-5-21-2127521184-1604012920-1887927527-18600483 Mandatory group, Enabled by default, Enabled group             
REDMOND\vs-oi-users                                           Group            S-1-5-21-2127521184-1604012920-1887927527-10147945 Mandatory group, Enabled by default, Enabled group             
REDMOND\ProDevFTEPS                                           Group            S-1-5-21-2127521184-1604012920-1887927527-19973679 Mandatory group, Enabled by default, Enabled group             
REDMOND\cefteus                                               Group            S-1-5-21-2127521184-1604012920-1887927527-12454317 Mandatory group, Enabled by default, Enabled group             
REDMOND\IMECHECKERUSERS                                       Group            S-1-5-21-2127521184-1604012920-1887927527-10520943 Mandatory group, Enabled by default, Enabled group             
REDMOND\CRMHOME_READ                                          Group            S-1-5-21-2127521184-1604012920-1887927527-20648152 Mandatory group, Enabled by default, Enabled group             
REDMOND\WCMPREADERS                                           Group            S-1-5-21-2127521184-1604012920-1887927527-17201742 Mandatory group, Enabled by default, Enabled group             
REDMOND\antdrrun                                              Group            S-1-5-21-2127521184-1604012920-1887927527-19423966 Mandatory group, Enabled by default, Enabled group             
REDMOND\WWRCMSORU                                             Group            S-1-5-21-2127521184-1604012920-1887927527-25615021 Mandatory group, Enabled by default, Enabled group             
REDMOND\BAPISHARING                                           Group            S-1-5-21-2127521184-1604012920-1887927527-20347430 Mandatory group, Enabled by default, Enabled group             
REDMOND\SCRAMUSERS                                            Group            S-1-5-21-2127521184-1604012920-1887927527-9255630  Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-O365-SFBO-READ                     Group            S-1-5-21-2127521184-1604012920-1887927527-23399372 Mandatory group, Enabled by default, Enabled group             
