
GROUP INFORMATION
-----------------

Group Name                                                    Type             SID                                                Attributes                                                     
============================================================= ================ ================================================== ===============================================================
Everyone                                                      Well-known group S-1-1-0                                            Mandatory group, Enabled by default, Enabled group             
REDMOND\DESIGNDEPOT USERS RO                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-19808783 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SAW_CloudEnterprise_RDGUser                           Alias            S-1-5-21-2127521184-1604012920-1887927527-16047376 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACL_IE Public_READ                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-5107804  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQLInfra_CL_DynamicImaging_RO                         Alias            S-1-5-21-2127521184-1604012920-1887927527-3611135  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQLInfra_CL_MST_RO                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-2912824  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ISRM SHAREPOINT VISITORS - ALL DOMAINS001             Alias            S-1-5-21-2127521184-1604012920-1887927527-14892106 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WINSE SWIM - ALL FTES                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-9779894  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SM_SMOKETEST_MSCOM_PROD_PUB                           Alias            S-1-5-21-2127521184-1604012920-1887927527-15762383 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Bugs_O14_RO                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-6639929  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-AntaresRG-16553                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-11818470 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_SOURCE_O16_RO                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-9159876  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - STB-INTERNAL                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-11503512 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WASDRGWINFABTESTRO                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-14479432 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\REDMOND-WINPHONE-WP8-WTTLOGROSG                       Alias            S-1-5-21-2127521184-1604012920-1887927527-12243913 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS22-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-16897783 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Redmond-WinPhone-WP8-Platinum                         Alias            S-1-5-21-2127521184-1604012920-1887927527-7581326  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AZURE COMPUTE INSIGHTS PORTAL ACCESS2                 Alias            S-1-5-21-2127521184-1604012920-1887927527-16479523 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SECURITYPATCH-BACKENDACCESS-GENERAL                   Alias            S-1-5-21-2127521184-1604012920-1887927527-10504209 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-AZNW-USERS                               Alias            S-1-5-21-2127521184-1604012920-1887927527-22268917 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_Office10OBTriage                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-2361613  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG_TFS_READERS                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-14290815 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQL Server VSTS Contributor Access                    Alias            S-1-5-21-2127521184-1604012920-1887927527-2784722  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-Read Only-RG-11287                                Alias            S-1-5-21-2127521184-1604012920-1887927527-7001939  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Releases_O14_RO                                Alias            S-1-5-21-2127521184-1604012920-1887927527-6639879  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS4-SEARCHER                        Alias            S-1-5-21-2127521184-1604012920-1887927527-16207699 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\HR THRIVE UAT PARTICIPANTS                            Alias            S-1-5-21-2127521184-1604012920-1887927527-25438959 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQLInfra_CL_AutoSql_RW                                Alias            S-1-5-21-2127521184-1604012920-1887927527-3243992  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG_SP_RW                                             Alias            S-1-5-21-2127521184-1604012920-1887927527-14303669 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\TFSRSADC                                              Alias            S-1-5-21-2127521184-1604012920-1887927527-4861897  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS5-USERS                           Alias            S-1-5-21-2127521184-1604012920-1887927527-16207862 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\VSTF_UDC_READERS_REDMOND                              Alias            S-1-5-21-2127521184-1604012920-1887927527-15500549 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\FIMCM-SAW                                             Alias            S-1-5-21-2127521184-1604012920-1887927527-17640078 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SM_ATH_OFC_RD                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-15582906 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WindowsProtocolGenDoxAccess                           Alias            S-1-5-21-2127521184-1604012920-1887927527-6452940  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\XBOX_OSG_TFS_RW                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-14880107 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG_SPO_RW                                            Alias            S-1-5-21-2127521184-1604012920-1887927527-13966267 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\W8_TFS_RED                                            Alias            S-1-5-21-2127521184-1604012920-1887927527-5960049  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Corp_FIMCM_ModernApp_Pilot                            Alias            S-1-5-21-2127521184-1604012920-1887927527-14174400 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-Read Write-RG-11288                               Alias            S-1-5-21-2127521184-1604012920-1887927527-7001940  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACL_IE Public_WRITE                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-5107803  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG_TFS_RW                                            Alias            S-1-5-21-2127521184-1604012920-1887927527-14295359 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DOMINO READERS (REDMOND)                              Alias            S-1-5-21-2127521184-1604012920-1887927527-15258135 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-Read Write-RG-14546                               Alias            S-1-5-21-2127521184-1604012920-1887927527-10016664 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-ONEDEPLOY-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-19127865 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Portal_O15_RO                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-6634541  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - THINKWEEK                                     Alias            S-1-5-21-2127521184-1604012920-1887927527-11503505 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - WWSMM_FY11                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-11496446 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\PILOT REGISTRATION PORTAL EAST ACCESS                 Alias            S-1-5-21-2127521184-1604012920-1887927527-14880472 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WABCP                                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-14256314 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WSSC PORTAL WW VISITORS                               Alias            S-1-5-21-2127521184-1604012920-1887927527-14683510 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\XBOX SWIFTSURE AUTOMATION USERS SG                    Alias            S-1-5-21-2127521184-1604012920-1887927527-14792520 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\CDB-XTS                                               Alias            S-1-5-21-2127521184-1604012920-1887927527-6305403  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SM_MSCOMEVERYONE                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-15855995 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Redmond-WinPhone-WP8-Source-RW                        Alias            S-1-5-21-2127521184-1604012920-1887927527-6801257  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_Office_ADMIN_SVR                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-1908117  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_Office_READER_SVR                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-1908121  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ReportingGroup {0bf24d65-f516-47ce-b46a-6fd2d25c4692} Alias            S-1-5-21-2127521184-1604012920-1887927527-2984327  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_SPECS_O16_RW                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-9159926  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AZURE-ALL-PSV                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-14229296 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\REDMOND-WINPHONE-WPBLUE-GOLD                          Alias            S-1-5-21-2127521184-1604012920-1887927527-10140584 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-SVCFABKPI-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-20203439 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - ENGINEERING_SYSTEM                            Alias            S-1-5-21-2127521184-1604012920-1887927527-24281406 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-LAB-SEARCHER                             Alias            S-1-5-21-2127521184-1604012920-1887927527-16029623 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ADBUILD-BIZTALK                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-13564652 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS33-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-17355089 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DDCMS_AWSUA_ALL                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-11366201 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQL VSTS Reporting                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-2706096  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_MBDProtocolProductStudio_RW                       Alias            S-1-5-21-2127521184-1604012920-1887927527-4782732  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS30-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-17029852 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\GEMINIIMDF-APFORCED                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-16802953 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Drop_O14_RO                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-6639833  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Redmond_Files_Blast_RW                                Alias            S-1-5-21-2127521184-1604012920-1887927527-1486138  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Domain RODC Password Replication Allowed Group        Alias            S-1-5-21-2127521184-1604012920-1887927527-571      Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_BUG_RO_REDMOND                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-14310663 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AADRMMONSG                                            Alias            S-1-5-21-2127521184-1604012920-1887927527-10882960 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_PORTAL_O16_RW                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-9159878  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\IRIS_DB_READ_WRITE_SPROCS                             Alias            S-1-5-21-2127521184-1604012920-1887927527-11307503 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SM_ATH_OFCADM                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-15582910 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WM7CP_DocDrop_Ext                                     Alias            S-1-5-21-2127521184-1604012920-1887927527-5986243  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Releases_O15_RO                                Alias            S-1-5-21-2127521184-1604012920-1887927527-6634528  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS21-SEARCHER001                    Alias            S-1-5-21-2127521184-1604012920-1887927527-16769870 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-SERVICEBUSEH-SEARCHER                    Alias            S-1-5-21-2127521184-1604012920-1887927527-19154352 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SKYPE_WEBCLIENT_DOGFOOD                               Alias            S-1-5-21-2127521184-1604012920-1887927527-15060613 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS-CE_CHAT                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-14648873 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-SERVICEBUSEH-USERS                       Alias            S-1-5-21-2127521184-1604012920-1887927527-19154353 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\THRIVE_SG_EMP_CORP_GLOBAL_WC                          Alias            S-1-5-21-2127521184-1604012920-1887927527-25927719 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Redmond-WinPhone-WP8-Info-RW                          Alias            S-1-5-21-2127521184-1604012920-1887927527-7010810  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS49-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-19587725 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\NETMON-UI                                             Alias            S-1-5-21-2127521184-1604012920-1887927527-15481304 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS9-SEARCHER                        Alias            S-1-5-21-2127521184-1604012920-1887927527-16207843 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\IE Files Access                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-2564673  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-SSTA-14867                                        Alias            S-1-5-21-2127521184-1604012920-1887927527-10135903 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Redmond-WinPhone-WP8-Gold                             Alias            S-1-5-21-2127521184-1604012920-1887927527-7205122  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS14-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-16406638 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AZURE-SECRETSTOREWARMPATHPROD-READONLY                Alias            S-1-5-21-2127521184-1604012920-1887927527-22295052 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS13-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-16406636 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ADBUILD-ALL-R                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-13143728 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AZURE-SOURCE-RW                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-14395628 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - OSG_DEMOS                                     Alias            S-1-5-21-2127521184-1604012920-1887927527-14724456 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SM_SMOKETEST_MSCOM_PROD_READ                          Alias            S-1-5-21-2127521184-1604012920-1887927527-15762381 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - WWSMM_FY12                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-11496409 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WIN_SPECS_ARCHIVE                                     Alias            S-1-5-21-2127521184-1604012920-1887927527-14510600 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_RELEASES_O16_RO                                Alias            S-1-5-21-2127521184-1604012920-1887927527-9159877  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_OfficeWebBrowse                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-576701   Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\w8_windowsbuilds                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-6098201  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Sirona - TAM Managers                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-7314345  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Drop_O15_RO                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-6634503  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\HRweb_sg_US_1010_emp_corp_nonmgr_Redmond_6            Alias            S-1-5-21-2127521184-1604012920-1887927527-16581208 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-DE-READER-12648                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-8036651  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_OfficeOBTriage                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-2361612  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WASDRGCASPRODACCESS                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-14724090 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS21-DASHBOARDADMIN001              Alias            S-1-5-21-2127521184-1604012920-1887927527-16769881 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS2-SEARCHER                        Alias            S-1-5-21-2127521184-1604012920-1887927527-15880958 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS7-SEARCHER                        Alias            S-1-5-21-2127521184-1604012920-1887927527-16207740 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-DELA-R-14432                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-9888973  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Redmond-smartcard-logon                               Alias            S-1-5-21-2127521184-1604012920-1887927527-9747992  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS9-DASHBOARDADMIN                  Alias            S-1-5-21-2127521184-1604012920-1887927527-16207736 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\FS_RED-FSU_DEEPLEARNING_R                             Alias            S-1-5-21-2127521184-1604012920-1887927527-22223486 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SM_MSCOMCMS_NAVIGATOR                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-15756679 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG_REL_APPSRM_C                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-15289922 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\CSBUILDEVENTJOBRUNNERS                                Alias            S-1-5-21-2127521184-1604012920-1887927527-14553205 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DDTHRESHOLD_BUILD                                     Alias            S-1-5-21-2127521184-1604012920-1887927527-14558704 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS27-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-16897793 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS12-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-16406634 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AZURE-ALL-STD                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-14229295 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_PORTAL_O16_RO                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-9159879  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS6-SEARCHER                        Alias            S-1-5-21-2127521184-1604012920-1887927527-16207739 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS-OSG_FTE_ONLY                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-13962792 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\COMMSKB                                               Alias            S-1-5-21-2127521184-1604012920-1887927527-21988069 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\MSAllFTE                                              Alias            S-1-5-21-2127521184-1604012920-1887927527-1926035  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WSSCLSE_RSG_RD2                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-14428440 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-Read Only-RG-13311                                Alias            S-1-5-21-2127521184-1604012920-1887927527-8479067  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-ICMCUSTOM-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-20470119 Mandatory group, Enabled by default, Enabled group, Local Group
NT AUTHORITY\This Organization Certificate                    Well-known group S-1-5-65-1                                         Mandatory group, Enabled by default, Enabled group             
Mandatory Label\Medium Mandatory Level                        Label            S-1-16-8192                                                                                                       
